Brand,Date,Day,Index,Beverage,Beer,Wine,Liquor,Miscellaneous1,Retail Sales,Food Supplies,Labor,Cash Flow,Ordered,Quantity,Unit Cost,Ext Value,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Extra_10,Extra_11,Extra_12,Extra_13,Extra_14,Extra_15,Extra_16,Extra_17,Extra_18,Extra_19,Extra_20,Extra_21
Basil Haydens Bourbon 1L,1.0,165,165,4128,68112,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Basil Haydens Bourbon 750ml,1.0,025,025,386,965,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bulleit Rye Whiskey 1L,1.0,11,11,2474,27214,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bulleit Rye Whiskey 750ml,1.0,005,005,2474,1237,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Canadian Club 1858 1L,1.0,28,28,128,3584,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Crown Apple 1L,1.0,085,085,3149,267665,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Crown Peach 1L,1.0,1,1,3149,3149,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Crown Royal Canadian Whisky 1L,1.0,23,23,3149,72427,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Crown Vanilla 1L,1.0,25,25,3149,78725,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Fireball Cinnamon Whiskey 1L,1.0,135,135,1519,205065,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Gentleman Jack Whiskey 1L,1.0,275,275,3233,889075,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Gentleman Jack 750ml,1.0,1,1,2409,2409,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jack Daniels Apple 750ml,1.0,16,16,1839,29424,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jack Daniels Old No 7 Whiskey 1L,1.0,57,57,2638,150366,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jack Daniels Tennessee Fire 1L,1.0,17,17,2638,44846,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jack Daniels Tennessee Honey Whiskey 1L,1.0,2,2,2638,5276,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jack Daniels Apple 1L,1.0,04,04,2638,10552,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jameson Irish Whiskey 1L,1.0,51,51,333,16983,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
